Sezione elettorale,Movimento 5 Stelle,Il Popolo della Famiglia,Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare Lorenzin,Partito Democratico,Italia Europa Insieme,+ Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d'Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Votanti,Totale Voti Non Validi
421,129,2,0,2,5,141,6,24,0,34,72,13,0,0,7,32,4,504,12
422,74,4,0,1,13,138,8,42,5,55,63,21,0,1,10,34,1,507,15
423,104,5,0,0,8,121,10,39,3,60,79,28,4,0,6,31,4,540,15
424,99,2,0,2,1,141,3,16,1,30,52,7,2,0,2,39,2,424,11
425,106,0,1,4,4,183,3,26,1,36,66,18,2,0,11,46,0,532,9
426,138,3,0,5,1,70,2,10,0,29,42,2,2,1,13,27,1,384,22
427,92,1,1,7,0,104,2,13,0,38,61,10,1,0,5,16,5,384,15
428,101,2,1,3,1,164,4,19,4,50,85,9,2,0,15,50,2,542,10
429,81,1,2,0,10,132,4,26,1,37,56,13,1,0,10,44,3,448,9
430,97,3,0,0,1,210,6,25,0,34,74,13,0,1,11,43,0,559,11
431,81,4,0,5,5,115,8,36,4,55,71,30,0,0,4,28,7,477,6
432,58,2,2,2,3,123,8,35,4,86,79,33,0,0,7,24,4,501,14
433,76,3,1,1,5,112,9,36,2,69,89,25,3,1,11,31,6,506,6
